Review,Total
"오우 배달 신속정확! 맛도 레드 소스 더 발라주시니 넘나 맛있는것! 소스가 살짝 더 두꺼워지니 쉽게 마르지 않아서 초크초크 하게 먹었어요 사장님말대로 간이 세져서 막판에는 짠맛이 돌았는데 암튼 기본대로 먹으면 바삭바삭하고 살짝 매콤해서 대중적인 맛이고, 소스 좀 더 바르면 맛이 선명해지면서 촉촉해지고 대신 짠맛도 상승한다는 차이가 있어요 둘다 좋음! ^^",5
맛있고 양이 늘어난듯해요. 혹시 음료는 다른걸로 바꾸면 더 나을것같아요.,5
역시는 역시더라구요.유명한게 맞네요.맛잇어요.살짝 느끼할때 엽떡이랑 먹으면 짱이에요.근데 저번에도 그렇고 바삭하다못해 오버쿸 된 느낌이 있어요. 고것만 개선되면 좋을듯...한참 식은거 5살딸냄이가 뚝딱했어요,4
역시 교촌은 반반윙봉이지요 전 반반윙봉이 넘 좋아요,5
배달빠르고 정확하고 맛좋고 ㅠㅠ 원래 교촌이 식으면 좀 뻣뻣해지는 맛이있지만 순살이어서 그런지 괜찮았어요 레드소스 넘나 맛있어요! 다음엔 소스 좀 좀 더 충분히 발라주시면 진짜 더 최고일듯!! 더 먹고싶네요 ㅎㅎ 맛있어용,5
빨리 오셔서 전달 해주셨어요 잘 먹었습니다~!,5
늘 맞있어요 여기서만 시켜먹어요,5
역시 믿고먹는 허니콤보 좀 짜긴 했는데 맛있어요,5
맛있네요 맛있어요 맛,4
가게새로생긴 초반에는 늘 기분좋게먹었는데 요즘은 시킬때마다 맛이 어떨지 걱정됩니다. 예전부터 교촌만먹었어서 아쉽네요. 오늘 배달온건데 튀김옷이 저렇게되어있어요. 위생상문제없다고해도 배달받은순간 기분이 안좋았습니다,3
이제는 애들땜에 2개씩 시켜서 먹어야하는데... 너무 맛있네요....,5
잘받았습니다 감사합니다,5
짜요. 많이 ;; 매번 짠 맛의 정도가 달라서 아쉽네요.,5
맛있고 배달도 빠르네요. 와이프가 매운맛을 잘먹네요 ㅋㅋ,5
교촌은 언제나 맛있어요,5
오늘 닭은 커요..,5
맛있어요 맛있어요,5
허니콤보는 역시 진리,5
맛있게잘먹었어요..,5
조아요 ! 교촌 맛잇어염~~!!,5
존맛...,5
믿고먹는 교촌인데 오늘따라 푸석푸석하고 윤기도 없고.. 실망했어요,3
역시 교촌!!!!!,5
한시간 5분 걸려 배달받았어요. 이리 오래 기다려본 치킨은 처음... 식어서 왔고.. 레드가 맛이 별로였어요.,3
엄청 맛있게 먹었는데 중간에 먹다가 머리카락을 발견했어요. ㅜㅜ 그래도 너무 맛있게 먹었습니다. 빠른 배달도 넘 감사합니다.,5
감사합니다 잘먹었습니다,5
맛있네요 깔끔하고 좋아요 사진은 아이것 덜어놓은 후 찍어서...,5
너무너무 맛있어서 또 시켜먹을거예요,5
진짜 넘 맛있어요 ㅠㅠㅠㅠ,5
이번주엔 교촌 율전1호점서 두번이나 시켰습니다.너무 맛있어서요. 배달도 예상시간보다 빠르고.감사합니다^^,5
불맛이 아니라 비린맛임. 완전 별로. 레드가 진리. 신화 절대 비추 ㅠ,1
맛있어요 굿굿굿 ~~~~~,5
빠르게 오고 맛있게먹었습니다. 감사합니다,5
소스가 덜 발린 부분이 있어 좀 아쉬웠어요 ㅠㅠ 튀김옷도 살짝 두꺼운듯 한 느낌이었지만 그래도 바삭해서 맛있게 잘 먹었습니다ㅎㅎㅎ 담에 또 주문할게욤,4
짭짤하고 맛있었어요!,5
맛있어요~~ 애들이 엄청 좋아해요~ 여기 점이 제일 맛있어요~~,5
교촌은 율전1호점이죠.일주일에 한번. 못먹어도 이주에 한번 먹는 교촌.지난주말 다른 치킨 먹었더니 오늘은 교촌이 급 땡겨서 주문.예상시간보다 빠른 배달.뜨끈한 닭.최고입니다. 부탁드린 음료도 잘 마실께요~ 늘 감사히 잘 먹고있어요~^^,5
신속한배달덕분에 따뜻하게치킨먹엇어요 감사합니다~^^♡,5
버거는 처음 먹어봤는데 양도 많고 맛도 맛있었습니다,5
다 좋은데.... 배달이 늦어서 안타깝네요 ㅠㅠ,5
..........,3
허니콤보치킨은 사랑입니다♥,5
아주맛잇쪄욤 역시교촌이라는거,5
배달이 빨라서 좋아요,5
닭에서 냄새 너무 나요 그리고 다른곳과 다르게 너무 짜네요 다 같은 교촌 아닌가요? 왜 여긴 이상하게 유난히 짜죠? 레시피대로 조리하신다는데 레시피 다시 확인하셔야겠네요 손님이 먹다가 거짓말이라도 치나요? 가져가서 드셔보세요 점장인지 사장인지 갑자기 전화 바꾸더니 알바생보다 서비스도 엉망이고 기분 나빠서 후기써요 율전점때문에 교촌 이미지 나빠지네요 돈 아까워요,1
항상 맛있어요 잘먹었습니다,5
너무오래 튀긴건지 뻐뻣해서 이빨 부러지겠네요 염지를 안한건지 딱딱하고 속살은 싱겁고 완죤 비추천,3
사장님 맛있게잘먹었습니다 그런데 배달왔을때 저렇게 틈벌어져서오는게 홀에서 저렇게 포장되어서 온건가요?? 받았을때 찝찝하네요... 저기다 테이프하나붙여서 포장해주시는것도 좋을것같아요,5
전 이지점 첨 시켜보는데. 이런곳처음봤네요.. 넘 느끼해요 그 이유는 사진에보이는 부위입니다. 닭봉이나 닭날개 닭다리로만 오던 것이.. 닭허벅지 윗부분? 그거 쪼갠거 무려6조각이나 들어있더군요.. 제대로 온다해도 이지점은 다신 먹고싶지 않아요.,1
배송도 빠르고 바삭바삭 맛있어요!,5
굿굿굿굿굿굿굿굿굿굿,5
배달빠르고 맛있습니디,5
감사합니다 잘먹고있습니다,5
교촌은 맛있지만 양이 아쉬운..,4
허니콤보 맛있슴다 1.25추가 주문 했는데 콜라는 펩시 아닌 코카콜라였음 좋겠어요!! 배달원님의 친절함에 감동 했습니다👍🏻,5
금방 왔습니다. 맛있는데 양이 조금만 더 많았으면 좋겠네요.,5
주1회~2회 시켜먹는 교촌치킨~쵝오쵝오,5
언제나 맛좋은 교촌!,5
교촌은 늘 율전점에서 시킵니다. 따뜻하니 빠른 배달서비스~다만 음료 콜라로 부탁드렸는데 허니레몬 음료가 왔네요. 요것도 싫어하는건 아닌지라 맛나게 마실께요.담엔 콜라로 꼭 부탁드립니다^^,5
항상 교촌은 맛있죠 ㅎㅎ,5
"예전같이 맛이없네요,반반시켰는데ㅜㅜ",1
"튀김이 너무 딱딱하고, 살도 없어서 아이들이랑 같이 먹기 힘들었습니다.",1
반반이라 질리않고 잘먹었습니다,5
오랜만에 먹는 교촌.... 쬰맛...!! 근데 콜라도 팔았음 좋겠어요ㅠㅠㅠㅠ 치킨엔 콜란데..휴,5
맛잇어용 레드콤보짱,5
따뜻하게 빨리 배달됐어요,5
잘 받았습니다 많이 파세요,5
교촌은 율전점이 젤 마싯어요 ㅎ,5
교촌은...진리죠~~ㅋㅋ 친철한 배달에 예상시간전 배달..감사합니다~,5
사진은 못찍었네요 맛있게 잘먹었어요,4
잘먹었습니다~~~!,5
역쉬 교촌~교촌만먹어용!이번엔 허니로다가 교촌사랑합니다,5
맛나요~~~~~~~,5
간장맛이 너무짜요 그런데로 먹을만 한데 너무 딱딱해서,2
사진 찍는걸 잊어버렸어요 레드라 그런가 매콤 짭조롬하니 맛있어요 배달이 엄청 빨라서 놀랐네요 암튼 맛나게 잘먹었습니다,5
배달하시는 분이 아주 친절하셨습니다 요청대로 문앞에 놔주시고 전화주셔서 감사합니다! 교촌은 맛있는데 닭이 워낙 작아서인지 먹다가 식으면 살이 질겨진다는게 문제.. 안제나 첫맛이 최고인 치킨ㅋㅋ 배달빨라서 좋았음요,5
좀 짜요 그리고 더 바싹했으면 좋겠어요,3
잘먹었어요~~ 다음에도 시킬께요,5
닭이 너무 퍽퍽ㅜㅜ,1
맛있게 잘먹었습니다,5
항상 맛았어요~~~~,5
너무 맛있어요 또 먹을 게요~,5
역시 허니콤보네여. ^^,5
늘 주문해서 먹는 곳이에요! 배달도 빠르고 매장도 깔끔해서 좋아요 치킨도 맛있어요~ 오늘도 따뜻하게 배달와서 잘먹었습니당~~,5
"완적 작은에 담겨있어서 놀랬어요. 평소 허니사이즈의 반정도?맵기는 엄청 맵고,불맛도 나고.맛은 있어요.한번은 먹을만하나 매운거 잘 못먹어서인지 다음엔 교촌허니 먹으려구요.",5
"일단 레드콤보는 담에는 안시키는걸로~~ 역시 허니가 갑인듯!!!-.,-",4
가게가 한가해서 진짜 오랜만에 교촌 시켯엉오오오오오 냄새 죽이고. ㅜㅜ 잘먹겠습니당,5
가끔 시켜먹는곳인데 오늘은 스티커가 제대로 안붙어있어서 1점 뺐어요. 교촌은 스티커가 생명인데..맛은 늘 맛있어요.,4
맛있게먹겠습니다~~,4
애들이 좋아해서 한번씩 시켜먹어요~~ 여기가 젤 맛있어요~~,5
맛있어요~ 쵝오쵝오,5
이번엔 실망이에요. 오버쿡 되어서 닭이 뻗뻗했음. 튀기시는 분이 달라졌는지 조리하실때 신경 더 써주세요.,3
존맛,5
맛있게 잘먹었습니다.,5
양도 많고 맛있게 잘먹었어요.. 허니콤보는 사랑입니다. 아이들이 순삭해서 사진은 못찍었네요ㅠㅜ,5
맛좋은상품입니다!~~~~~~,5
"맛, 배달 둘다 굿입니다 또 이용할께요",5
요청한 시간에 맞춰서 와서 잘 먹었습니다 레드는 처음시켰는데 너무 짜서 좀아쉽네요,5
치킨도 맛나고 감자튀김도 넘 맛나요~~,5
맛있게 잘 먹었고 요청사항 들어주셔서 감사했습니다.,5
엽떡도 잘먹는 저로서는 신라면 정도의 맵기라고 봤어용 근데ㅜ치킨무 두개시키세요 저는 치킨무가ㅜ모자라요 ㅎㅎ,5
아이들 먹기참 좋았습니다^^,5
늘 애용하고 있습니다.,5
교촌 후라이드는 첨 이었는데 역시 교촌이네요 맛있었어요,5
맛있어요~~~~~~~~~~~~,5
맛있게 잘 먹었습니다 ^^,5
레드보다 신화가 더 맛있뜸 진짜 존맛,5
허니콤보는 역시 맛있음,5
배송 빠르 고 맛있어요.,4
치킨은 교촌입니다ㅎ,5
치킨은눅눅하고 제가먹어본교촌중 최악입니다!!!!,1
배달도빠르고 맛있어요,5
허니콤본 진리. 역시 맛있어요.,5
"맛있어요. 배달 시간도 정확하고,",5
맛있게 잘 먹었습니다. 감사합니다.,5
배달하는분 정직원이라하셨죠?? 넘친절하고 역시맛잇네요ㅎㅎㅎㅎ,5
"허니콤보주문했는데 오리지널콤보를 보내주셨네요^^; 허니콤보가 꼭 꼭 먹고싶었는데,,,",3
뭐..교촌이니까..ㅎ,4
맛있게 잘먹었습니다.,5
존맛..,5
너무너무 맛있어요~ 치킨 양도 많아요,5
좋았어요!! 따뜻학 잘왔어요,5
양념은 매콤하고맛있어요~~근데 고기가 너무 오래튀긴건지 뻣뻣한부분이 많네요~그리고 음료수 교촌 스파클링은 탄산좋아하는 애들도 싫어하네요~바꾸실수있다면 콜라나 사이다로바꾸시는게 좋치않을까~~하는 생각이들어요~개인적으로 한마리보다는 콤보가 더 좋은것같아요~잘먹었습니다~,5
한시간 20분 기다렸어요,3
말해뭐하나요 존맛입니다,5
맛이 좋아요 양도 적당하고 배단시간 빨라요 허니 오리지널 연로하신 부모님이 맛있다고 하시네요,5
사장님도 아시죠? 레허는 사랑인거....♡,5
맛있고 양도 두 사람 먹기에 딱 맞았어요! 배달도 빨리 오고 전체적으로 만족스러웠습니다.,5
"맛있다,......",5
정말정말정말 맛있어요,5
맛있어요~~~~~~,5
"음료 관련해서 전화드렸는데, 바쁘실텐데 사장님 목소리톤이나 어투가 차분하면서도 친절하시더라구요. 교촌 먹을땐 늘 율전1호점. 오늘도 만족스럽게 먹습니다^^",5
일회용 나무젓가락도없었고 배달원도 뭐가화가났는지 화난목소리로얘기하더라고여!! 그냥별로였어요,3
여기 콜라는 안주시나봐요,3
음~ 맛있네요ㅎ 지인이 추천해서 시켜봤는데 맛있네요ㅎ,5
배달 예상 시간보다 상당히 빨리 왔어요! 교촌치킨 좋아하는데 잘 먹었네요.,5
매콤한게 땡길때 역쉬~~~!!!!!,5
잘먹었습니다~~~~~,5
잘먹었습니다. 역시 교촌은 윙~~~,5
맛잇게잘먹었어요~ 부모님께서도좋아하시는메뉴라자주시켜먹고있어요^^,5
맛있었어요~ 또 시켜먹고 싶은 맛,5
정말 너무너무 맛있어요,5
배달시간지켜주시고 맛있습니다,5
반반윙봉만 먹다가 순살 먹으니 편하고 좋으네요 그래도 전 윙봉이 ~~ 밥은 처음 먹어보는데 정말 맛있어요 요청사항대로 많이 튀겨 보내주셔서 감사해요~다음에는 매운밥으로 ㅎ,5
늘 맛있어요!!!! 감사합니다,5
불맛이 너무 맛있어요!!!허니가 최애메뉴인데 이것도 자주 시켜먹을거같아요,5
기대치가 넘 높아서...배달하시는분은 진따..완전 친철하시더군요~^^키친에 불맛과향은~~그래도 레드가 나은듯해요~~물론 개.취죠~,4
맛있어요~~~~~~,5
생각 보다 좀...,4
역시 믿고먹는 교촌이네여 잘먹었습니다!!,5
치킨 식어서 온건 첨이네요 교촌 먹으면서;;,2
매콤하니 술안주로 딱이네요 ㅎㅎㅎ,5
배달 정말 빠르게 왔고 괜찮았어요,4
매우매우 맛있습니다^^,5
진짜 맛있게 잘먹었습니다!!,4
저번에 허니콤보는 굉장히 잘 튀겨주셔서 다른 메뉴를 한번 시켜봤는데 이번에는 탄맛이 조금 강해서 다음번에 이 메뉴는 시키지 않을거 같아요 ㅎ,3
시부모님들이 이것만 드셔요,5
맛있게 먹었어요 음료는 아쉽ㅜ ㅜ,4
맛있어요 오늘도시켜요,5
존맛..,5
맛있어요~^^완젼강츄~,5
늘 교촌은 율전1호점이죠. 빠른 배달.정확한 대응.조만간 매장가서 먹으려구요^^,5
양도 많고 맛도 맛있어~~~~~~~~,5
오랜만에 진짜 잘먹었습니다 꿀걱^^,5
만고의 진리. 허니콤보가 정답.,5
안주가 필요해서 주문햇는데 배달직원분 상당히 친절하시네요 젠틀하시고,5
매우맛있어요.먹느라 사진을 못찍었어요,5
순살 맛있어서 자주 시켜 먹고 있어요,5
기름이 너무 많아서 씹을때마다 기름이 입안에서 터지는 느낌이 나는데 심지어 되게 오래된 기름맛이 나네요ㅜ 나머지는 다 좋었습니다 배달은 빨리왔고 양도 많아요,3
빠른배달 잘받았고 맛있게 잘먹었습니당👍,5
붙어있는 스티커가 뜯었다 붙은것처럼 되어있었고 상자에 바깥에 기름이 묻어있더라고요 누가봐도 배달원이 꺼낸 흔적이었어서 전화드리려다가 그냥 먹었어요~ 스티커 더 꽉 붙여주셔야 할 듯해요,5
아주맛있어요 ~~~~~,5
맛있었어요 최고입니다,5
맛있어요 ~~^^♡♡♡♡♡♡♡♡,5
구우우우우우우우웃!,5
콤보보다 3천원싸면서 가슴살까지 다양하게 먹을수있어서 좋았숩니다,5
허겁지겁 먹다가 리뷰 생각나서 후딱 찍었더니 사진이 이상하네요ㅠㅜㅎㅎ맛있게 먹었습니다!,5
근처 대학생인데 살면서 처음 배달리뷰 남겨봐요. 오늘 유난히 맛있어서 한마리 다먹어버렸지 뭐얌.. 양도 항상 정량으로 오는거같고 감사히 잘먹었습니다~,5
늦은 리뷰네요. 매주 율전1호점에서 시킵니다. 맛나고 친절해요.그래서 지금 또 시켜놓고 기다리는중~^^,5
뭐 굳이 할말 있습니까? 그저 빛 ㄱ개존맛 교촌,5
양도 많고 잘 먹었습니다.,5
오랜만에 교촌시켰네요. 원래 비싸고 짜서 잘 안먹는데 잠깐 휴가 나온 군인 아들이 먹고싶대니 어쩔수없이 시켰어요. 근데 짠맛은 좀 개선된거 같아요. 양이 적은건 변함없네요.암튼 군인 아들이 잘 먹으니 만족,3
맛있지요항상교촌치킨,5
맛있게 잘 바삭바삭 튀겨졌어요,5
맛있어요...,5
맛있습니다 항상 잘 먹고있어요,5
꿀맛꿀맛~~!!!!!!,5
배달도 예상시간보다 빠르게 와서 좋았고 이번에 나온 레허 반반순살 너무 좋습니다,5
배달해주신 분이 친절하셔서 참 좋았습니다.,5
항상 요청사항 잘 들어주시고 좋아요,5
